Trial Number,Score,Max Tile
0,6920,512
1,7216,512
2,7008,512
3,7164,512
4,15824,1024
5,7468,512
6,27024,2048
7,12236,1024
8,6568,512
9,11952,1024
0,7420,512
1,15000,1024
2,16028,1024
3,7328,512
4,16104,1024
5,15356,1024
6,16296,1024
7,12204,1024
8,15484,1024
9,27432,2048
10,16164,1024
11,7124,512
12,12232,1024
13,14424,1024
14,11712,1024
15,7024,512
16,15912,1024
17,16428,1024
18,7204,512
19,16348,1024
